target_gene,which_CS,carbon_source_uptake,growth_rate,acetate_secretion,pts,zwf,gnd,pgi,"edd, eda","pfk, fba",tktA,tktB,tal,"gap, pgk",eno,pyk,pdh,"glta, can",icd,suc,"sdh, fum",mdh,mae,pck,pcc,"pta, acka","acea, aceb"
SoxR,gal,1.76,0.18,0.05,1.82,0.55,0.40,1.26,0.16,1.43,0.13,0.05,0.13,03.05,2.79,2.81,2.46,1.15,0.31,0.04,0.88,1.64,0.10,0.58,0.39,0.05,0.85
SoxS,gal,1.92,0.19,0.07,1.93,0.41,0.36,1.51,0.05,1.65,0.12,0.04,0.12,3.37,03.09,03.04,2.45,1.22,0.49,0.20,0.94,1.66,0.01,0.61,0.49,0.07,0.73
SspA,gal,1.92,0.17,0.03,1.99,0.53,0.48,1.46,0.05,1.68,0.16,0.08,0.16,3.47,3.20,3.38,2.86,1.45,0.48,0.20,1.18,2.10,0.05,0.80,0.46,0.03,0.97
TdcA,gal,1.96,0.18,0.06,2.12,0.61,0.38,1.51,0.23,1.67,0.13,0.05,0.13,3.58,3.31,3.73,3.47,1.73,0.47,0.20,1.47,2.62,0.11,0.82,0.24,0.06,1.27
TdcR,gal,2.11,0.18,0.05,2.17,0.59,0.51,1.57,0.09,1.81,0.17,0.09,0.17,3.77,3.49,3.53,3.23,1.68,0.61,0.33,1.40,2.21,0.26,0.71,0.50,0.05,01.07
TorR,gal,1.69,0.16,0.00,1.75,0.47,0.38,1.27,0.10,1.43,0.12,0.05,0.12,2.99,2.74,2.93,2.52,1.20,0.26,0.00,0.94,1.82,0.07,0.73,0.38,0.00,0.94
UspA,gal,03.02,0.20,0.08,2.75,0.76,0.64,1.98,0.12,2.28,0.21,0.11,0.21,4.76,4.42,4.53,3.97,02.08,0.83,0.46,1.71,2.81,0.16,01.03,0.70,0.09,1.25
UvrY,gal,2.88,0.19,0.00,2.45,0.61,0.58,1.83,0.03,2.10,0.19,0.10,0.19,4.31,3.99,4.28,3.55,1.86,0.67,0.33,1.52,2.71,0.00,01.04,0.55,0.01,1.19
UxuR,gal,1.86,0.15,0.19,1.81,0.54,0.37,1.26,0.17,1.42,0.13,0.05,0.13,03.04,2.79,2.85,2.47,1.10,0.31,0.05,0.84,1.58,0.04,0.62,0.42,0.20,0.79
YbhD,gal,1.87,0.17,0.00,1.90,0.48,0.25,1.42,0.23,1.50,0.08,0.02,0.08,3.22,2.99,3.18,2.90,1.65,0.77,0.52,1.41,2.26,0.03,0.75,0.41,0.00,0.89
YdeO,gal,2.30,0.18,0.08,02.05,0.49,0.46,1.55,0.03,1.77,0.15,0.07,0.15,3.60,3.33,3.39,2.80,1.39,0.50,0.21,1.10,1.95,0.04,0.75,0.51,0.08,0.89
YdjF,gal,2.40,0.18,0.03,2.39,0.63,0.31,1.76,0.32,1.87,0.10,0.02,0.10,04.04,3.76,3.84,3.54,2.12,1.17,0.87,1.82,2.71,0.07,0.85,0.60,0.02,0.95
