,Experiment Description,Data Definition,Well Substrate,Data Value,Data Submitter
3,b3091 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.78,Blattner Laboratory
4,b3093 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.43,Blattner Laboratory
7,b3132 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.04,Blattner Laboratory
8,b3137 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.09,Blattner Laboratory
12,b3161 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.91,Blattner Laboratory
15,b3172 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
19,b3213 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.89,Blattner Laboratory
20,b3224 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.99,Blattner Laboratory
21,b3225 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.79,Blattner Laboratory
23,b3236 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.23,Blattner Laboratory
27,b3265 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.42,Blattner Laboratory
39,b3336 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.71,Blattner Laboratory
43,b3359 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.53,Blattner Laboratory
47,b3396 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.28,Blattner Laboratory
48,b3403 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.33,Blattner Laboratory
51,b3409 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.22,Blattner Laboratory
52,b3415 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.31,Blattner Laboratory
53,b3416 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.6,Blattner Laboratory
56,b3426 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.4,Blattner Laboratory
57,b3429 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.33,Blattner Laboratory
58,b3430 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.39,Blattner Laboratory
59,b3431 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.45,Blattner Laboratory
61,b3437 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
63,b3450 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.98,Blattner Laboratory
64,b3451 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
65,b3454 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.34,Blattner Laboratory
66,b3456 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
69,b3500 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.78,Blattner Laboratory
71,b3517 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.55,Blattner Laboratory
72,b3519 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.33,Blattner Laboratory
73,b3542 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.11,Blattner Laboratory
74,b3543 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.68,Blattner Laboratory
75,b3544 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.2,Blattner Laboratory
77,b3551 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.16,Blattner Laboratory
79,b3564 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.88,Blattner Laboratory
80,b3565 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.88,Blattner Laboratory
81,b3566 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.23,Blattner Laboratory
82,b3567 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.43,Blattner Laboratory
83,b3568 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.63,Blattner Laboratory
85,b3571 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.42,Blattner Laboratory
86,b3572 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.85,Blattner Laboratory
87,b3580 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.57,Blattner Laboratory
88,b3588 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.4,Blattner Laboratory
89,b3600 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.18,Blattner Laboratory
90,b3603 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.92,Blattner Laboratory
92,b3605 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.11,Blattner Laboratory
93,b3653 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.61,Blattner Laboratory
95,b3671 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.96,Blattner Laboratory
101,b3721 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.6,Blattner Laboratory
102,b3725 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.29,Blattner Laboratory
103,b3731 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.34,Blattner Laboratory
107,b3750 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.08,Blattner Laboratory
108,b3751 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.89,Blattner Laboratory
110,b3771 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.14,Blattner Laboratory
112,b3787 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.62,Blattner Laboratory
113,b3789 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.39,Blattner Laboratory
115,b3806 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.56,Blattner Laboratory
117,b3821 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.77,Blattner Laboratory
119,b3829 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.19,Blattner Laboratory
120,b3831 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.85,Blattner Laboratory
122,b3849 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.15,Blattner Laboratory
123,b3857 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.08,Blattner Laboratory
124,b3860 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.23,Blattner Laboratory
126,b3867 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.92,Blattner Laboratory
129,b3870 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.0,Blattner Laboratory
130,b3892 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,2.03,Blattner Laboratory
131,b3893 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.8,Blattner Laboratory
132,b3894 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
135,b3902 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.94,Blattner Laboratory
136,b3903 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.85,Blattner Laboratory
137,b3904 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.66,Blattner Laboratory
140,b3908 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.03,Blattner Laboratory
141,b3909 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.66,Blattner Laboratory
144,b3916 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.69,Blattner Laboratory
145,b3917 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.15,Blattner Laboratory
146,b3919 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.04,Blattner Laboratory
147,b3924 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,2.16,Blattner Laboratory
148,b3925 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.1,Blattner Laboratory
149,b3926 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
150,b3927 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.7,Blattner Laboratory
152,b3930 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.56,Blattner Laboratory
155,b3942 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
156,b3945 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.88,Blattner Laboratory
159,b3952 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.75,Blattner Laboratory
160,b3957 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
161,b3958 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.14,Blattner Laboratory
162,b3959 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
164,b3991 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.93,Blattner Laboratory
165,b3992 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.84,Blattner Laboratory
166,b3993 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.96,Blattner Laboratory
167,b3994 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.89,Blattner Laboratory
170,b4005 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.46,Blattner Laboratory
171,b4006 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
172,b4013 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.31,Blattner Laboratory
175,b4025 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.44,Blattner Laboratory
176,b4033 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.51,Blattner Laboratory
177,b4035 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.42,Blattner Laboratory
179,b4039 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.58,Blattner Laboratory
180,b4041 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.58,Blattner Laboratory
183,b4054 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.85,Blattner Laboratory
185,b4070 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.27,Blattner Laboratory
186,b4071 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.15,Blattner Laboratory
187,b4072 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.57,Blattner Laboratory
188,b4073 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.59,Blattner Laboratory
189,b4090 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.31,Blattner Laboratory
190,b4094 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.31,Blattner Laboratory
191,b4095 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.78,Blattner Laboratory
192,b4096 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
194,b4100 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.19,Blattner Laboratory
195,b4104 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.88,Blattner Laboratory
196,b4105 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.65,Blattner Laboratory
197,b4106 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.64,Blattner Laboratory
200,b4111 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.38,Blattner Laboratory
203,b4117 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
205,b4119 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.13,Blattner Laboratory
206,b4120 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.13,Blattner Laboratory
207,b4129 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.09,Blattner Laboratory
208,b4138 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.59,Blattner Laboratory
209,b4173 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.75,Blattner Laboratory
427,b3091 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
428,b3093 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
431,b3132 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
432,b3137 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
436,b3161 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
439,b3172 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
443,b3213 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
444,b3224 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
445,b3225 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
447,b3236 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.24,Blattner Laboratory
451,b3265 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
463,b3336 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
467,b3359 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
471,b3396 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
472,b3403 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
475,b3409 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
476,b3415 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
477,b3416 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
480,b3426 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.32,Blattner Laboratory
481,b3429 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
482,b3430 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
483,b3431 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
485,b3437 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
487,b3450 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
488,b3451 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
489,b3454 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
490,b3456 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
493,b3500 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
495,b3517 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
496,b3519 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
497,b3542 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
498,b3543 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
499,b3544 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
501,b3551 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
503,b3564 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.14,Blattner Laboratory
504,b3565 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
505,b3566 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
506,b3567 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
507,b3568 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.14,Blattner Laboratory
509,b3571 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
510,b3572 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
511,b3580 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
512,b3588 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.13,Blattner Laboratory
513,b3600 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.14,Blattner Laboratory
514,b3603 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
516,b3605 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
517,b3653 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
519,b3671 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
525,b3721 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
526,b3725 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
527,b3731 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.12,Blattner Laboratory
531,b3750 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
532,b3751 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
534,b3771 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
536,b3787 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
537,b3789 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
539,b3806 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
541,b3821 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.26,Blattner Laboratory
543,b3829 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
544,b3831 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
546,b3849 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
547,b3857 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
548,b3860 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
550,b3867 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
553,b3870 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
554,b3892 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
555,b3893 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
556,b3894 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
559,b3902 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
560,b3903 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
561,b3904 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
564,b3908 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
565,b3909 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
568,b3916 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
569,b3917 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
570,b3919 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
571,b3924 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
572,b3925 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
573,b3926 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.14,Blattner Laboratory
574,b3927 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
576,b3930 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
579,b3942 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
580,b3945 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
581,b3946 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
582,b3952 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
583,b3957 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
584,b3958 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
585,b3959 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
588,b3991 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
589,b3992 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
590,b3993 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
591,b3994 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
594,b4005 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
595,b4006 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
596,b4013 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
599,b4025 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
600,b4033 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
601,b4035 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
603,b4039 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
604,b4041 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
607,b4054 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
609,b4070 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
610,b4071 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.43,Blattner Laboratory
611,b4072 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
612,b4073 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
613,b4090 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
614,b4094 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
615,b4095 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
616,b4096 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.16,Blattner Laboratory
618,b4100 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
619,b4104 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
620,b4105 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.21,Blattner Laboratory
621,b4106 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.22,Blattner Laboratory
624,b4111 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
627,b4117 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.17,Blattner Laboratory
629,b4119 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.2,Blattner Laboratory
630,b4120 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
631,b4129 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.19,Blattner Laboratory
632,b4138 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.15,Blattner Laboratory
633,b4173 mutant Biolog assay,OD600 growth,"1,2-Propanediol",0.18,Blattner Laboratory
1699,b3091 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.51,Blattner Laboratory
1700,b3093 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.44,Blattner Laboratory
1703,b3132 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.58,Blattner Laboratory
1704,b3137 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
1708,b3161 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.54,Blattner Laboratory
1711,b3172 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,0.3,Blattner Laboratory
1715,b3213 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.49,Blattner Laboratory
1716,b3224 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.56,Blattner Laboratory
1717,b3225 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.45,Blattner Laboratory
1719,b3236 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.2,Blattner Laboratory
1723,b3265 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
1735,b3336 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
1739,b3359 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
1743,b3396 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.26,Blattner Laboratory
1744,b3403 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.77,Blattner Laboratory
1747,b3409 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.4,Blattner Laboratory
1748,b3415 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.44,Blattner Laboratory
1749,b3416 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.03,Blattner Laboratory
1752,b3426 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.02,Blattner Laboratory
1753,b3429 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.63,Blattner Laboratory
1754,b3430 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.46,Blattner Laboratory
1755,b3431 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.84,Blattner Laboratory
1757,b3437 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.31,Blattner Laboratory
1759,b3450 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.3,Blattner Laboratory
1760,b3451 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.1,Blattner Laboratory
1761,b3454 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.38,Blattner Laboratory
1762,b3456 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.34,Blattner Laboratory
1765,b3500 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.36,Blattner Laboratory
1767,b3517 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.21,Blattner Laboratory
1768,b3519 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.29,Blattner Laboratory
1769,b3542 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.34,Blattner Laboratory
1770,b3543 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.34,Blattner Laboratory
1771,b3544 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.28,Blattner Laboratory
1773,b3551 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.13,Blattner Laboratory
1775,b3564 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.1,Blattner Laboratory
1776,b3565 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.05,Blattner Laboratory
1777,b3566 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.21,Blattner Laboratory
1778,b3567 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.18,Blattner Laboratory
1779,b3568 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.11,Blattner Laboratory
1781,b3571 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.13,Blattner Laboratory
1782,b3572 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.05,Blattner Laboratory
1783,b3580 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.16,Blattner Laboratory
1784,b3588 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.35,Blattner Laboratory
1785,b3600 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.23,Blattner Laboratory
1786,b3603 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,0.94,Blattner Laboratory
1788,b3605 mutant Biolog assay,OD600 growth,2-Deoxy Adenosine,1.07,Blattner Laboratory
