,Experiment Description,Data Definition,Well Substrate,Data Value,Data Submitter
0,b3091 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.78,Blattner Laboratory
1,b3093 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.43,Blattner Laboratory
2,b3132 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.04,Blattner Laboratory
3,b3137 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.09,Blattner Laboratory
4,b3161 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.91,Blattner Laboratory
5,b3172 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
6,b3213 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.89,Blattner Laboratory
7,b3224 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.99,Blattner Laboratory
8,b3225 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.79,Blattner Laboratory
9,b3236 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.23,Blattner Laboratory
10,b3265 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.42,Blattner Laboratory
11,b3336 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.71,Blattner Laboratory
12,b3359 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.53,Blattner Laboratory
13,b3396 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.28,Blattner Laboratory
14,b3403 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.33,Blattner Laboratory
15,b3409 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.22,Blattner Laboratory
16,b3415 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.31,Blattner Laboratory
17,b3416 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.6,Blattner Laboratory
18,b3426 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.4,Blattner Laboratory
19,b3429 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.33,Blattner Laboratory
20,b3430 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.39,Blattner Laboratory
21,b3431 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.45,Blattner Laboratory
22,b3437 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
23,b3450 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.98,Blattner Laboratory
24,b3451 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.11,Blattner Laboratory
25,b3454 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.34,Blattner Laboratory
26,b3456 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.12,Blattner Laboratory
27,b3500 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.78,Blattner Laboratory
28,b3517 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.55,Blattner Laboratory
29,b3519 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.33,Blattner Laboratory
30,b3542 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.11,Blattner Laboratory
31,b3543 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.68,Blattner Laboratory
32,b3544 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.2,Blattner Laboratory
33,b3551 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.16,Blattner Laboratory
34,b3564 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.88,Blattner Laboratory
35,b3565 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.88,Blattner Laboratory
36,b3566 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.23,Blattner Laboratory
37,b3567 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.43,Blattner Laboratory
38,b3568 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.63,Blattner Laboratory
39,b3571 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.42,Blattner Laboratory
40,b3572 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.85,Blattner Laboratory
41,b3580 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.57,Blattner Laboratory
42,b3588 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.4,Blattner Laboratory
43,b3600 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.18,Blattner Laboratory
44,b3603 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.92,Blattner Laboratory
45,b3605 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.11,Blattner Laboratory
46,b3653 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.61,Blattner Laboratory
47,b3671 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.96,Blattner Laboratory
48,b3721 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.6,Blattner Laboratory
49,b3725 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.29,Blattner Laboratory
50,b3731 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.34,Blattner Laboratory
51,b3750 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.08,Blattner Laboratory
52,b3751 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.89,Blattner Laboratory
53,b3771 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.14,Blattner Laboratory
54,b3787 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.62,Blattner Laboratory
55,b3789 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.39,Blattner Laboratory
56,b3806 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.56,Blattner Laboratory
57,b3821 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.77,Blattner Laboratory
58,b3829 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.19,Blattner Laboratory
59,b3831 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.85,Blattner Laboratory
60,b3849 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.15,Blattner Laboratory
61,b3857 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.08,Blattner Laboratory
62,b3860 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.23,Blattner Laboratory
63,b3867 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,0.92,Blattner Laboratory
64,b3870 mutant Biolog assay,OD600 growth,(-)Shikimic Acid,1.0,Blattner Laboratory
